"time","file","row","column","references","code"
"1145","RestScreen+FormItemFactory+StaticItems.swift","88","7","24","instance method profitabilityTable(for:)"
"1142","GoalInfoItemsFactoryTests.swift","71","7","8","instance method testCreate(items:minBalance:maxAmount:)"
"1141","LauncherDecoderTests.swift","72","7","25","instance method testNilLauncher()"
"1138","String+Extensions.swift","33","7","22","instance method capitalizingFirstLetter()"
"1121","CurrencyConverterTests.swift","165","30","19","(closure)"
"1116","FormViewGradientHeaderController.swift","117","7","18","instance method set(headerHeight:animated:)"
"1112","FlashingView.swift","110","7","22","instance method animate(layers:)"
"1099","FlashingView.swift","113","31","22","(closure)"
"1098","DiscountRateCalculatorWorkerMock.swift","51","15","13","instance method isOk()"
"1088","IISProductImageViewModel.swift","33","14","23","instance method formItemHeight(forWidth:context:)"
"1088","WelfareStepFormCell.swift","77","36","24","(closure)"
"1086","NSZHRouter.swift","44","14","18","instance method routeToBuyNSZHProduct(forGoalModel:)"
"1079","DiscountRateCalculatorWorkerTests.swift","129","7","14","instance method testNoCustomerCategoryKeyWithCorrectDiscountReference()"
"1072","CreditHolidaysInteractorTests.swift","59","7","14","instance method testFullLoanListState()"
"1060","CardDetailPage.swift","105","15","18","instance method checkCardBalanceStep()"
"1059","AutoPaymentDetailListConverterTest.swift","37","7","10","instance method testCoverterAutopaymenDetailReasonElementsMock()"
"1057","CardDetailPage.swift","106","61","18","(closure)"
"1046","ProductDetailsNSZFactory.swift","25","15","24","instance method createDebtCardItem(for:presenter:)"
"1045","ShortcutItemDataSourceTests.swift","16","7","5","instance method testThatSearchByAddressIsAvailable()"
"1036","GoalDetailsViewController.swift","31","43","18","(closure)"
"1032","RestScreen+FormItemFactory+ActiveItems.swift","42","7","24","instance method circleDiagram(for:with:)"
"1027","SOWatchLoader.swift","376","19","12","instance method askForAssertionWithSemaphore(_:)"
"1019","LauncherDecoder+Availibility.swift","75","7","24","instance method isEnabled(_:)"
"1019","NewCardItemAccessoryView.swift","71","16","11","instance method safeAreaInsetsDidChange()"
"1012","SOWatchLoader.swift","377","78","12","(closure)"
"1005","ServiceDetailsHeaderView.swift","143","15","10","instance method setupConstraints()"
"1003","RestScreen+FormItemFactory+ActiveItems+Tests.swift","16","10","22","instance method testDocument()"
"997","SecurityCodeOnboardingFormItemsProviderTests.swift","30","7","9","instance method testCreateFormItems()"
"983","AutoPaymentDetailPage.swift","76","7","18","instance method getRequisiteValue(requisite:)"
"979","KPPCalculatorViewController.swift","159","21","24","instance method validateInput()"
"977","String+Extensions.swift","80","7","22","instance method heightFor(width:)"
"976","SecurityCodeRequestFactory.swift","188","7","11","instance method createAuthenticatorPinSrpSecond(endpoint:ouid:pin:publicKey:)"
"970","LoanCalculate.Insurance.swift","28","3","16","initializer init(reference:)"
"963","Utils.swift","33","14","13","static method nextSet(toggleValues:)"
"962","BaseProfileTestCase.swift","18","79","12","getter beforeActions"
"960","WelfareCellWidgetFabric.swift","20","14","24","static method service(with:references:delegate:settings:)"
"959","Amount.swift","41","28","22","getter displayString"
"956","StateButtonWidgetCell.swift","50","18","9","instance method setupTextLabel()"
"952","GoalDateDescriptionStrategy.swift","159","14","18","static method daysBetween(first:second:)"
"952","KPPCalculatorViewController.swift","120","15","24","instance method setupFormItems(addItemTitle:addItemText:buttonTitle:)"
"952","CircleDiagramWFService.swift","23","10","23","initializer init(widget:references:)"
"944","AnalyticMetricBuilder.swift","14","7","24","instance method eventForCategory(_:screen:button:action:)"
"934","BindingWorkflowProviderFactory.swift","26","7","11","instance method workflowProvider(parameters:completion:)"
"926","RecommendedRequestTest.swift","14","7","11","instance method testRecommendedRequestWithNumberPagination()"
"921","SecurityCodeSettingsFormItemProviderTests.swift","29","7","9","instance method testCreateFormItems()"
"920","ExtensionDelegate.swift","34","14","12","instance method session(_:activationDidCompleteWith:error:)"
"918","UtilsTests.swift","77","15","13","instance method checkGenerateFeatureAvailabilityFlagsCases(testingFeatureAvailabilityProvidersCount:expectedResult:)"
"917","EribResponseFilterPatcher.swift","38","39","12","(closure)"
"909","SecurityCodeRequestFactory.swift","326","14","11","instance method hexEncodedString()"
"908","SecurityCodeStartService.swift","58","7","11","instance method startSecurityCode()"
"907","KnifeSwitchDecoder.swift","166","7","17","instance method fixPrefix(for:)"
"905","PaymentsStatusPage.swift","159","34","18","getter amountPayment"
"901","Utils.swift","19","14","13","static method generateFeatureAvailabilityFlagsCases(featureAvailabilityProvidersCount:)"
"900","SecurityCodeStartService.swift","62","13","11","(closure)"
"898","WalletService.swift","95","15","9","instance method getTokens(for:)"
"892","CurrenciesSorterTests.swift","39","7","20","instance method testWithPrioritiesCurrencies()"
"888","FatDividerWidgetCell.swift","36","18","9","instance method setupDivider()"
"888","TextSumChecker.swift","28","7","3","instance method checkText(current:replaceText:replaceRange:)"
"885","SecurityCodeStartService.swift","79","39","11","(closure)"
"884","NSManagedObject+Helper.swift","39","13","12","class method findOrCreateEntity(_:)"
"884","RegularPaymentUnite.swift","89","9","22","initializer init(map:)"
"884","ISZWidgetInfo.swift","29","2","24","initializer init(withUFSJSONPathFinderNode:)"
"883","ChainCreateNext.swift","32","16","11","instance method main()"
"881","UtilsTests.swift","77","15","19","instance method checkGenerateFeatureAvailabilityFlagsCases(testingFeatureAvailabilityProvidersCount:expectedResult:)"
"876","NewCardExpireFormatter.swift","31","7","11","instance method format(_:gravity:)"
"874","CalculateInsuranceStrategy.swift","123","15","17","instance method updateResult()"
"870","ApplePaySubItem.swift","72","55","9","(closure)"
"859","WelfareAttachDocumentCell.swift","137","15","25","instance method setupLayout()"
"857","WorkingTimeFormItem.swift","70","15","5","instance method setupSchedule()"
"855","UIStackView+ExtensionsTests.swift","14","7","10","instance method testVertical()"
"850","UIView+Helper.swift","17","7","11","instance method valuePhone(_:_:_:)"
"844","AutoPaymentDetailListConverterTest.swift","63","7","10","instance method testCoverterAutopaymenDetailReasonSkipElementsMock()"
"841","FeatureAvailabilityFacade.swift","44","14","8","instance method isAvailable(_:)"
"838","TokenManageViewController.swift","51","54","9","(closure)"
"836","SearchShutterContentBuilder.swift","58","23","5","instance method addContent(_:)"
"831","SecurityCodeRequestConfiguration.swift","40","2","11","initializer init(headers:body:endpoint:config:)"
"830","DefaultSOBasedParser.swift","112","15","12","instance method statusCode(from:)"
"829","SubscriptionConfirmRequestTest.swift","15","7","10","instance method testRecommendedRequestSubscribe()"
"813","NotificationCell.swift","120","15","23","instance method updateItems(animated:)"
"811","AutoPaymentDetailListConverterTest.swift","50","7","10","instance method testCoverterAutopaymenDetailReasonNoElementsMock()"
"810","Error+Extension.swift","45","15","11","instance method flattenMessageArray(_:into:)"
"807","NewCardExpireFormatter.swift","76","15","11","instance method normalizeCaretPosition(caretString:gravity:)"
"806","Card.swift","58","32","12","(closure)"
"802","String+Extension.swift","16","7","11","instance method substring(to:)"
"802","ConverterCurrencyConcretizerTests.swift","123","7","20","instance method testAdjustForCurrency()"
"801","EndpointTransitionHandlerSpy.swift","30","7","19","instance method performTransition()"
"796","EsimFraudMessageScreenFactoryTests.swift","14","7","6","instance method testScreenWithModel()"
"795","RiskProfileMultipleAnswerModel.swift","62","14","24","instance method buildAnswer()"
"794","ConverterCurrencyConcretizerTests.swift","124","29","20","(closure)"
"790","MonthlyPaymentCalculatorWorker.swift","271","15","16","instance method calculateAmountWithInsurance(amount:term:rateInsurance:)"
"783","KPPAboutCardCell.swift","90","7","24","instance method updateAccessibility()"
"778","InterfaceFSM.swift","201","12","12","instance method updateInterface()"
"773","ClientManagersInfoModel.swift","41","22","6","static method isManagerBelongsToVIP(id:)"
"772","FeatureAvailability.swift","58","7","25","instance method isAvailable(_:)"
"771","ExtendedPermissionsFacadeTests.swift","34","7","13","instance method testIsFeatureAvailableForNotNilStore()"
"769","FeatureToggleTests.swift","43","7","7","instance method testEnabled()"
"768","SecurityCodeSemanticStringsFactory.swift","251","7","11","instance method attemptsRemaining(attempts:)"
"765","AddressSearchDebtsInitRequestTests.swift","15","7","10","instance method testAddressSearchDebtsInitRequestWitchValidRequest()"
"764","EribStatus.swift","76","10","11","initializer init(from:)"
"761","DefaultSBBasedParser.swift","108","15","11","instance method statusCode(from:)"
"753","WelfareSectionSubheaderWidgetTests.swift","35","7","25","instance method testWidgetItem()"
"753","WelfareAdditionalSummWidgetFabricTests.swift","44","7","25","instance method testServiceWithWidget()"
"748","HeaderCardView.swift","40","2","23","initializer init()"
"742","ContractBuilderFactory.swift","84","7","24","instance method makeGridButtonsBuilder(delegate:)"
"741","KnifeSwitchDecoderTests.swift","50","7","14","instance method testDecodePathForServicesMap()"
"737","XMLParser.swift","132","53","15","(closure)"
"736","CatalogProductListInteractorProtocolMock.swift","38","7","25","instance method fetchImage(url:completion:)"
"735","WelfareSelectWidgetFabricTests.swift","63","7","25","instance method testServiceWithWidget()"
"735","Analytics.swift","117","14","9","static method send(_:description:)"
"733","VideoCallViewController.Layout.swift","54","15","4","instance method setupContraints()"
"731","UserPermissionsTests.swift","41","7","7","instance method testEnabled()"
"729","SecurityCodeEncryptionTests.swift","80","7","9","instance method decrypt(string:privateKey:)"
"727","DeeplinkParameters.swift","23","2","9","initializer init(data:toggles:)"
"725","FlexibleController.swift","70","7","7","instance method setHeaderFlexibleImage(_:fixedHeight:)"
"724","BindingOnboardingPresenter.swift","84","15","11","instance method startWorkflow(cardIdToBind:)"
"720","ModelParserHelper.swift","12","14","8","static method parseNode(name:)"
"712","BaseLoyaltyTestCase.swift","18","79","13","getter beforeActions"
"712","ContractNotesViewModelProvider.swift","68","15","25","instance method phoneItems(phones:)"
"711","AuthenticationRequestFactory.swift","99","7","11","instance method buildGetOperationTokenSecond(request:imageData:ouid:)"
"711","NewCardPresenter.swift","134","7","12","instance method fieldItem(_:didChange:)"
"710","AnalyticServiceTests.swift","33","7","25","instance method testInitWithCategory()"
"710","WelfareFundSelectDataSource.swift","33","14","24","instance method obtainFormItems()"
"702","WelfareAdditionalSummSelectWidgetService.swift","94","7","25","instance method updateSelectItem(with:)"
"700","PersonalizedButtonService.swift","23","20","9","instance method saveDataToSharedKeychain(maskedName:)"
"700","Rates.Cells.CurrencyRateCell.swift","95","7","25","instance method setFormItem(_:context:)"
"697","WelfareDetailsOpenerFabric.swift","23","21","24","static method service(with:references:delegate:settings:)"
"696","PaymentsProviderTest.swift","18","7","12","instance method test()"
"696","LauncherParametersManagerTests.swift","127","7","13","instance method testDecodeLoanProcessWorkflow2RestPath()"
"694","MobilePaymentTest.swift","18","7","12","instance method test()"
"693","KnifeSwitchTests.swift","18","53","7","(closure)"
"690","CurrencyConverterTests.swift","242","9","19","local function convert(sum:)"
"689","FeatureToggleMock.swift","20","7","9","instance method featureEnabled(forKey:)"
"689","RatesDataSource.swift","20","3","25","didSet observer _snapshot"
"685","ConsentsAndSubscriptionsInteractor.swift","119","15","10","instance method processReceivedServices(_:)"
"683","CalculateMounthlyPaymentStrategy.swift","217","7","17","instance method received(paymentValue:)"
"676","WelfareSelectWidgetFabric.swift","20","14","24","static method service(with:references:)"
"674","SOMOPayToken+PayTokenProtocol.swift","111","21","8","getter number"
"672","ContractInfoBuilderTests.swift","72","7","25","instance method testDefaultInfoItemsWithCurrency()"
"671","BaseCardDetailSettingsTestCase.swift","16","79","12","getter beforeActions"
"670","BaseTransferToSBRFTestCase.swift","16","79","12","getter beforeActions"
"670","NewCardPresenter.swift","135","38","12","(closure)"
"667","CardHeaderView.swift","21","39","8","getter imageSize"
"667","WorkflowScreensFactory.swift","32","3","25","initializer init(type:)"
"666","AutoPaymentDetail.swift","48","9","22","initializer init(map:)"
"662","ExtendedPermissionsFacadeTests.swift","34","7","19","instance method testIsFeatureAvailableForNotNilStore()"
"662","Converter.Container.ViewController.swift","107","7","24","instance method show(alert:)"
"657","SOWatchHelpers.swift","22","7","15","instance method animationWithDuration(_:animations:completion:)"
"651","SecurityCodePinPadPresenter.swift","109","7","11","instance method addNumber(number:)"
"651","XMLParser.swift","585","53","15","(closure)"
"650","LongOfferDetailConverter.swift","34","14","22","instance method convert(from:)"
"649","WorkflowAnalytics.swift","46","7","8","instance method split(parameters:)"
"648","HistoryStatementsItemsProvider.swift","38","7","24","instance method obtainItems(for:messages:)"
"647","LoanCalculate.Rate.swift","53","22","17","static method makeTerm(properties:key:)"
"644","WorkflowWarningNoteTests.swift","28","7","25","instance method testDefaultAlert()"
"644","WorkflowAnalytics.swift","48","47","8","(closure)"
"642","SOWatchLoader+Requests.swift","22","7","12","instance method startAuthorizationWithCompletionHandler(_:)"
"642","DevicesDataSource.swift","97","37","9","getter devices"
"641","SubscriptionModelsServiceTests.swift","55","7","6","instance method testGetModelsWithCache()"
"640","String+PhoneExtension.swift","14","43","22","getter autopaymentsListPhoneString"
